"match_hometeam_id","match_id","epoch","match_status","match_live","match_hometeam_name","match_awayteam_id","match_awayteam_name","match_hometeam_score","match_awayteam_score","match_hometeam_halftime_score","match_awayteam_halftime_score","match_hometeam_extra_score","match_awayteam_extra_score","match_hometeam_penalty_score","match_awayteam_penalty_score","home_in_list","away_in_list","league_id"
7606,154481,1542990600,"Finished",0,"Galatasaray",7611,"Konyaspor",1,1,0,0,0,0,NA,NA,1,1,511
3026,154301,1542999600,"Finished",0,"Lyon",3025,"St Etienne",1,0,0,0,0,0,NA,NA,1,1,176
7103,154303,1542999600,"Finished",0,"Leganes",7108,"Alaves",1,0,1,0,1,0,NA,NA,1,1,468
7096,154539,1543057200,"Finished",0,"Eibar",7099,"Real Madrid",3,0,1,0,1,0,NA,NA,1,1,468
7613,155321,1543060800,"Finished",0,"Alanyaspor",7604,"Kayserispor",5,0,1,0,1,0,NA,NA,1,1,511
4180,154532,1543064400,"Finished",0,"Udinese",4184,"AS Roma",1,0,0,0,0,0,NA,NA,1,1,262
3224,154526,1543066200,"Finished",0,"Augsburg",3238,"Eintracht Frankfurt",1,3,0,1,0,1,NA,NA,1,1,195
3225,154527,1543066200,"Finished",0,"Bayern Munich",3256,"Dusseldorf",3,3,2,1,2,1,NA,NA,1,1,195
3231,154528,1543066200,"Finished",0,"Hertha Berlin",3233,"Hoffenheim",3,3,1,2,1,2,NA,NA,1,1,195
3236,154530,1543066200,"Finished",0,"Wolfsburg",3226,"RB Leipzig",1,0,0,0,0,0,NA,NA,1,1,195
3237,154529,1543066200,"Finished",0,"Mainz",3230,"Dortmund",1,2,0,0,0,0,NA,NA,1,1,195
2613,154513,1543068000,"Finished",0,"Brighton",2611,"Leicester",1,1,1,0,1,0,NA,NA,1,1,148
2620,154518,1543068000,"Finished",0,"West Ham",2626,"Manchester City",0,4,0,3,0,3,NA,NA,1,1,148
2623,154517,1543068000,"Finished",0,"Watford",2621,"Liverpool",0,3,0,0,0,0,NA,NA,1,1,148
2627,154516,1543068000,"Finished",0,"Manchester Utd",2619,"Crystal Palace",0,0,0,0,0,0,NA,NA,1,1,148
3040,154520,1543071600,"Finished",0,"Paris SG",3024,"Toulouse",1,0,1,0,1,0,NA,NA,1,1,176
